,InstrumentID,days,InstrumentDisplayName,Symbol
307,1461,1.0,Costco Wholesale Corp,COST
308,1462,1.0,CVS Health Corp,CVS
309,1463,1.0,EMC Corp,EMC
310,1464,5.0,Twenty-First Century Fox Inc,FOX
311,1465,1.0,Gilead Sciences Inc,GILD
312,1466,3.0,GoPro Inc,GPRO
313,1467,2.0,Goldman Sachs Group Inc,GS
314,1469,4.0,Honeywell International Inc,HON
315,1472,1.0,Kellogg Co,K
316,1473,6.0,Capri Holdings Ltd,CPRI
317,1474,1.0,Lowes Companies Inc,LOW
318,1476,1.0,McKesson Corp,MCK
319,1477,1.0,Medtronic PLC,MDT
320,1478,1.0,Metlife Inc,MET
321,1481,3.0,Booking Holdings Inc,BKNG
322,1482,3.0,Philip Morris International Inc,PM
323,1484,3.0,PayPal Holdings,PYPL
324,1485,3.0,Qualcomm Inc,QCOM
325,1486,1.0,Royal Dutch Shell Shs -B- Sponsored American Deposit Receipt Repr 2 Shs B,RDS.B
326,1487,2.0,Sprint Corporation,S
327,1488,4.0,Shake Shack Inc,SHAK
328,1490,1.0,Target Corp,TGT
329,1491,6.0,Tata Motors Shs Sponsored American Deposit Receipt Repr 5 Shs,TTM
330,1493,1.0,United Parcel Service Inc,UPS
331,1494,6.0,Walgreens Boots Alliance Inc,WBA
332,1495,2.0,Wells Fargo & Co,WFC
333,1496,1.0,Williams Companies Inc,WMB
334,1498,1.0,AmerisourceBergen Corp,ABC
335,1500,2.0,Kroger Co,KR
336,1501,1.0,General Motors Co,GM
337,1503,6.0,Marathon Petroleum Corporation,MPC
338,1504,2.0,Cardinal Health Inc,CAH
339,1507,1.0,American International Group Inc,AIG
340,1508,4.0,Dow Chemical Co,DOW
341,1509,1.0,Aetna Inc,AET
342,1510,2.0,ConocoPhillips Co,COP
343,1511,3.0,Energy Transfer Equity LP,ET
344,1512,1.0,Humana Inc,HUM
345,1517,3.0,Plains GP Holdings LP,PAGP
346,1518,3.0,World Fuel Services Corp,INT
347,1520,2.0,Best Buy Co Inc,BBY
348,1521,3.0,Delta Air Lines Inc (DE),DAL
349,1522,1.0,HCA Holdings Inc,HCA
350,1525,2.0,Tyson Foods Inc,TSN
351,1526,1.0,Deere & Co,DE
352,1528,6.0,Cigna Corp,CI
353,1529,3.0,Mondelez International Inc,MDLZ
354,1530,5.0,Intl FCStone Inc,INTL
355,1534,6.0,General Dynamics Corp,GD
356,1539,5.0,International Paper Co,IP
357,1540,6.0,Qurate Retail Group inc,QRTEA
358,1544,1.0,Emerson Electric Co,EMR
359,1546,1.0,National Oilwell Varco Inc,NOV
360,1547,4.0,Raytheon Co,RTN
361,1550,6.0,Aflac Inc,AFL
362,1551,1.0,Staples Inc,SPLS
363,1552,3.0,Abbott Laboratories,ABT
364,1555,1.0,Freeport-McMoRan Inc,FCX
365,1560,2.0,Chesapeake Energy Corp,CHK
366,1561,4.0,Xerox Corp,XRX
367,1566,4.0,HollyFrontier Corp,HFC
368,1567,3.0,Eli Lilly & Co,LLY
369,1917,3.0,Ferrari NV,RACE
370,1966,4.0,Marriott International Inc,MAR
371,1967,2.0,Square,NYSE
372,1968,2.0,Match Group,Nasdaq
373,2000,18.0,Anglo American,AAL
374,2001,20.0,Associated British Foods,ABF
375,2002,23.0,Admiral Group,ADM
376,2003,34.0,Aberdeen Asset Management,ADN
377,2004,37.0,Aggreko,AGK
378,2005,59.0,Ashtead Group,AHT
379,2006,39.0,Amec Foster Wheeler Plc,AMFW
380,2007,55.0,Antofagasta,ANTO
381,2008,33.0,ARM Holdings,ARM
382,2009,36.0,Aviva,AV
383,2010,60.0,AstraZeneca,AZN
384,2012,43.0,Babcock International,BAB
385,2013,28.0,Barclays,BARC
386,2014,29.0,British American Tobacco,BATS
387,2015,25.0,BG Group,BG
388,2016,57.0,British Land,BLND
389,2017,15.0,BHP Billiton,BHP
390,2018,20.0,Bunzl,BNZL
391,2019,39.0,BP,BP
392,2020,9.0,Burberry Group,BRBY
