InstrumentID,InstrumentDisplayName,Exchange,Symbol,ISINCode,ISINCountryCode,
1158,Tencent Holdings Ltd,OTCMKTS,TCEHY,US88032Q1094,US,
1159,Etsy Inc,NASDAQ,ETSY,US29786A1060,US,
1160,Wix.com Ltd ,NASDAQ,WIX,IL0011301780,IL,
1161,Ryanair Holdings plc,NASDAQ,RYAAY,US7835132033,US,
1162,Delphi Technologies PLC,NYSE,DLPH,JE00BD85SC56,JE,
1163,Panasonic Corporation,OTCMKTS,PCRFY,US69832A2050,US,
1164,Aurora Cannabis Inc,NYSE,ACB,CA05156X1087,CA,
1165,Scotts Miracle-Gro Company,NYSE,SMG,US8101861065,US,
1166,Cara Therapeutics ,NASDAQ,CARA,US1407551092,US,
1167,Insys Therapeutics Inc,NASDAQ,INSY,US45824V2097,US,
1169,World Pay Inc,NYSE,WP,US9815581098,US,
1170,Zynerba Pharmaceuticals Inc,NASDAQ,ZYNE,US98986X1090,US,
1171,Corbus Pharmaceuticals Holding,NASDAQ,CRBP,US21833P1030,US,
1172,Cronos Group Inc,NASDAQ,CRON,CA22717L1013,CA,
1173,Pattern Energy Group,NASDAQ,PEGI,US70338P1003,US,
1174,Covanta Holdings,NYSE,CVA,US22282E1029,US,
1175,Enviva Partners LP,NYSE,EVA,US29414J1079,US,
1176,NextEra Energy Partners LP,NYSE,NEP,US65341B1061,US,
1177,Albemarle Corporation,NYSE,ALB,US0126531013,US,
1178,EnerSys,NYSE,ENS,US29275Y1029,US,
1179,Aphria Inc.,OTCMKTS,APHA,CA03765K1049,CA,
1180,Xiaomi Corp,Hong Kong Exchanges,XI,KYG9830T1067,KY,
1181,Overstock.com, Inc.,Nasdaq,OSTK,US6903701018,US
1182,Tilray, Inc.,Nasdaq,TLRY,US88688T1007,US
1183,Lyft Inc.,Nasdaq,LYFT,US55087P1049,US,
1184,Pinterest Inc,NYSE,PINS,US72352L1061,US,
1185,Levi Strauss & Co. ,NYSE,LEVI,US52736R1023,US,
1186,Uber,NYSE,UBER,US90353T1007,,
1187,Beyond Meat Inc.,Nasdaq,BYND,US08862E1091,US,
1200,Siemens Aktiengesellschaft,FRA,SIE,DE0007236101,DE,
1201,BASF SE,FRA,BAS,DE000BASF111,DE,
1202,SAP AG,FRA,SAP,DE0007164600,DE,
1203,Bayer AG,FRA,BAYN,DE000BAY0017,DE,
1204,Allianz SE,FRA,ALV,DE0008404005,DE,
1205,E.ON SE,FRA,EOAN,DE000ENAG999,DE,
1206,Daimler AG,FRA,DAI,DE0007100000,DE,
1207,Deutsche Telekom AG,FRA,DTE,DE0005557508,DE,
1209,Linde Aktiengesellschaft,FRA,LNA,DE0006483001,DE,
1210,Volkswagen AG,FRA,VOW3,DE0007664039,DE,
1211,Bayerische Motoren Werke Aktiengesellschaft,FRA,BMW,DE0005190003,DE,
1212,Muenchener Rueckvrschrng Gslchft AG Mnch,FRA,MUV2,DE0008430026,DE,
1213,RWE AG,FRA,RWE,DE0007037129,DE,
1214,Fresenius Medical Care AG & Co. KGAA,FRA,FME,DE0005785802,DE,
1215,Adidas AG,FRA,ADS,DE000A1EWWW0,DE,
1216,Deutsche Post AG,FRA,DPW,DE0005552004,DE,
1217,Fresenius SE & Co KGaA,FRA,FRE,DE0005785604,DE,
1218,Henkel AG & Co. KGaA,FRA,HEN3,DE0006048432,DE,
1219,Deutsche Boerse AG,FRA,DB1,DE0005810055,DE,
1220,ThyssenKrupp AG,FRA,TKA,DE0007500001,DE,
1221,Infineon Technologies AG,FRA,IFX,DE0006231004,DE,
1222,K+S Aktiengesellschaft,FRA,SDF,DE000KSAG888,DE,
1223,Commerzbank AG,FRA,CBK,DE000CBK1001,DE,
1224,Merck KGaA,FRA,MRK,DE0006599905,DE,
1225,Beiersdorf AG,FRA,BEI,DE0005200000,DE,
1226,HeidelbergCement AG,FRA,HEI.DE,DE0006047004,DE,
1227,Deutsche Lufthansa Aktiengesellschaft,FRA,LHA,DE0008232125,DE,
1228,Continental AG,FRA,CON,DE0005439004,DE,
1229,Lanxess AG,FRA,LXSd,DE00054704051,DE,
1230,Hugo Boss AG,FRA,BOSSd,DE000A1PHFF71,DE,
1231,Accor S.A.,Euronext Paris,AC,FR0000120404,FR,
1232,Credit Agricole S.A.,Euronext Paris,ACA,FR0000045072,FR,
1233,Air Liquide SA,Euronext Paris,AI,FR0000120073,FR,
1234,AIRBUS GROUP,Euronext Paris,AIR,NL0000235190,FR,
1235,Alstom SA,Euronext Paris,ALO,FR0010220475,FR,
1236,Alcatel-Lucent,Euronext Paris,ALU,FR0000130007,FR,
1237,Danone,Euronext Paris,BN,FR0000120644,FR,
