StockId,week1,weeks2,weeks3,weeks4,weeks5,weeks6
1978,0.262177044,0.489199492,0.009318086,0.008894536,0.229987294,0.000423549
1979,0.402419091,0.295390651,0.022229487,0.224256293,0.036155606,0.019548872
2000,0.390243902,0.569105691,0.033681765,0.004645761,0.00232288,0
2001,0.6,0.155434783,0.017391304,0.016304348,0.208695652,0.002173913
2002,0.333333333,0.507246377,0.043478261,0.014492754,0.101449275,0
2004,0.5,0.5,0,0,0,0
2005,0.431372549,0.254901961,0.015686275,0.015686275,0.278431373,0.003921569
2007,0.440251572,0.264150943,0.002515723,0.010062893,0.281761006,0.001257862
2009,0.335227273,0.369318182,0.0625,0.142045455,0.090909091,0
2010,0.538904899,0.293948127,0.023054755,0.014409222,0.129682997,0
2012,0.307692308,0.447552448,0.034965035,0,0.20979021,0
2013,0.430041152,0.352537723,0.013717421,0.00617284,0.197530864,0
2014,0.532773109,0.253781513,0.028571429,0.016806723,0.167226891,0.000840336
2016,0.353373841,0.338663256,0.005436521,0.005436521,0.297089862,0
2017,0.447761194,0.253731343,0.074626866,0.119402985,0.089552239,0.014925373
2018,0.357142857,0.285714286,0.071428571,0.071428571,0.142857143,0.071428571
2019,0.555844156,0.223376623,0.033766234,0.038961039,0.142857143,0.005194805
2020,0.641975309,0.172839506,0,0.024691358,0.160493827,0
2022,0.301158301,0.446589447,0.01029601,0.002574003,0.239382239,0
2023,0.62,0.27,0.02,0.04,0.05,0
2024,0.554150864,0.273493468,0.01179941,0.006321113,0.15339233,0.000842815
2025,0.186868687,0.606060606,0.02020202,0.01010101,0.176767677,0
2026,0.41025641,0.179487179,0.307692308,0.025641026,0.051282051,0.025641026
2027,0.573913043,0.208695652,0.034782609,0.052173913,0.130434783,0
2029,0.386652542,0.322033898,0.025423729,0.014830508,0.247881356,0.003177966
2030,0.764705882,0.117647059,0,0,0.117647059,0
2031,0.496801706,0.277185501,0.025586354,0.014925373,0.18336887,0.002132196
2032,0.415169661,0.29241517,0.005988024,0.006986028,0.27744511,0.001996008
2033,0.523809524,0.19047619,0.047619048,0.047619048,0.142857143,0.047619048
2035,0.722901064,0.145447379,0.00433583,0.002759164,0.124162397,0.000394166
2036,0.374138341,0.311148087,0.009983361,0.008557167,0.295459948,0.000713097
2037,0.573228346,0.195275591,0.028346457,0.004724409,0.196850394,0.001574803
2038,0.288447653,0.364981949,0.005776173,0.006137184,0.33465704,0
2039,0.384297521,0.268595041,0.024793388,0.190082645,0.132231405,0
2040,0.372972973,0.386486486,0.010810811,0.021621622,0.208108108,0
2042,0,1,0,0,0,0
2043,0.34562212,0.32718894,0.023041475,0.00921659,0.290322581,0.004608295
2044,0.456140351,0.298245614,0,0.01754386,0.228070175,0
2045,0.564389698,0.200447928,0.019036954,0.015677492,0.199328108,0.001119821
